Time,Length_x_copper32.5um0.25viscosity,Length_y_copper32.5um0.25viscosity,Length_x_copper32.5um0.5viscosity,Length_y_copper32.5um0.5viscosity,Length_x_copper32.5um1,Length_y_copper32.5um1,Length_x_copper32.5um2viscosity,Length_y_copper32.5um2viscosity,Length_x_copper32.5um4viscosity,Length_y_copper32.5um4viscosity
4e-07,6.465425394708291e-05,1.3138297617842909e-05,6.465425394708291e-05,1.3138297617842909e-05,6.465425394708291e-05,1.3138297617842909e-05,6.465425394708291e-05,1.3138297617842909e-05,6.465425394708291e-05,1.3138297617842909e-05
8e-07,6.465425394708291e-05,1.7287233276874758e-05,6.465425394708291e-05,1.7287233276874758e-05,6.465425394708291e-05,1.7287233276874758e-05,6.465425394708291e-05,1.7287233276874758e-05,6.465425394708291e-05,1.5904255633358844e-05
1.2e-06,6.465425394708291e-05,2.0053192201885395e-05,6.465425394708291e-05,2.0053192201885395e-05,6.465425394708291e-05,2.0053192201885395e-05,6.603723886655644e-05,2.0053192201885395e-05,6.603723886655644e-05,1.8670212739380077e-05
1.6e-06,6.465425394708291e-05,2.143616984540131e-05,6.465425394708291e-05,2.143616984540131e-05,6.465425394708291e-05,2.143616984540131e-05,6.465425394708291e-05,2.143616984540131e-05,6.465425394708291e-05,2.143616984540131e-05
2e-06,6.465425394708291e-05,2.4202126951422542e-05,6.465425394708291e-05,2.4202126951422542e-05,6.465425394708291e-05,2.4202126951422542e-05,6.465425394708291e-05,2.4202126951422542e-05,6.465425394708291e-05,2.2819149307906628e-05
2.4e-06,6.465425394708291e-05,2.558510641392786e-05,6.465425394708291e-05,2.558510641392786e-05,6.465425394708291e-05,2.558510641392786e-05,6.465425394708291e-05,2.558510641392786e-05,6.465425394708291e-05,2.558510641392786e-05
2.8e-06,6.465425394708291e-05,2.696808587643318e-05,6.465425394708291e-05,2.696808587643318e-05,6.465425394708291e-05,2.696808587643318e-05,6.465425394708291e-05,2.696808587643318e-05,6.465425394708291e-05,2.696808587643318e-05
3.2e-06,6.465425394708291e-05,2.8351063519949093e-05,6.465425394708291e-05,2.8351063519949093e-05,6.327127266558819e-05,2.8351063519949093e-05,6.327127266558819e-05,2.8351063519949093e-05,6.327127266558819e-05,2.8351063519949093e-05
3.6e-06,6.603723886655644e-05,2.973404298245441e-05,6.465425394708291e-05,2.973404298245441e-05,6.465425394708291e-05,2.973404298245441e-05,6.327127266558819e-05,2.973404298245441e-05,6.327127266558819e-05,2.973404298245441e-05
4e-06,6.327127266558819e-05,3.2500000088475645e-05,6.327127266558819e-05,3.2500000088475645e-05,6.327127266558819e-05,3.2500000088475645e-05,6.327127266558819e-05,3.111702244495973e-05,6.465425394708291e-05,3.111702244495973e-05
4.4e-06,6.327127266558819e-05,3.388297773199156e-05,6.327127266558819e-05,3.388297773199156e-05,6.465425394708291e-05,3.388297773199156e-05,6.465425394708291e-05,3.2500000088475645e-05,6.465425394708291e-05,3.2500000088475645e-05
4.8e-06,6.742021287209354e-05,3.526595901348628e-05,6.742021287209354e-05,3.526595901348628e-05,6.742021287209354e-05,3.388297773199156e-05,6.603723886655644e-05,3.388297773199156e-05,6.465425394708291e-05,3.388297773199156e-05
5.2e-06,7.15691494406201e-05,3.526595901348628e-05,7.018616815912537e-05,3.526595901348628e-05,6.880319415358827e-05,3.526595901348628e-05,6.742021287209354e-05,3.526595901348628e-05,6.465425394708291e-05,3.388297773199156e-05
5.6e-06,7.433510472765192e-05,3.6648936657002196e-05,7.29521234461572e-05,3.6648936657002196e-05,7.018616815912537e-05,3.6648936657002196e-05,6.742021287209354e-05,3.526595901348628e-05,6.465425394708291e-05,3.526595901348628e-05
6e-06,7.571808964712545e-05,3.803191430051811e-05,7.433510472765192e-05,3.6648936657002196e-05,7.15691494406201e-05,3.6648936657002196e-05,6.742021287209354e-05,3.6648936657002196e-05,6.327127266558819e-05,3.6648936657002196e-05
6.4e-06,7.571808964712545e-05,3.803191430051811e-05,7.433510472765192e-05,3.803191430051811e-05,7.018616815912537e-05,3.803191430051811e-05,6.603723886655644e-05,3.803191430051811e-05,6.188829866005108e-05,3.9414891944034025e-05
6.8e-06,7.433510472765192e-05,3.9414891944034025e-05,7.29521234461572e-05,3.9414891944034025e-05,6.880319415358827e-05,3.9414891944034025e-05,6.465425394708291e-05,4.079787322552875e-05,6.050531919754576e-05,4.079787322552875e-05
7.2e-06,7.29521234461572e-05,4.079787322552875e-05,7.018616815912537e-05,4.079787322552875e-05,6.603723886655644e-05,4.079787322552875e-05,6.188829866005108e-05,4.079787322552875e-05,5.635638262901921e-05,4.218085086904466e-05
7.6e-06,6.880319415358827e-05,4.218085086904466e-05,6.603723886655644e-05,4.218085086904466e-05,6.188829866005108e-05,4.218085086904466e-05,5.635638262901921e-05,4.218085086904466e-05,5.220744606049266e-05,4.218085086904466e-05
8e-06,6.465425394708291e-05,4.3563828512560576e-05,6.050531919754576e-05,4.3563828512560576e-05,5.635638262901921e-05,4.3563828512560576e-05,5.220744606049266e-05,4.3563828512560576e-05,4.8058509491966106e-05,4.3563828512560576e-05
8.4e-06,5.9122341554029845e-05,4.49468097940553e-05,5.4973404985503294e-05,4.49468097940553e-05,5.082446841697674e-05,4.3563828512560576e-05,4.529255420493428e-05,4.3563828512560576e-05,4.252659527992364e-05,4.3563828512560576e-05
8.8e-06,5.3590425522997975e-05,4.49468097940553e-05,4.944149077346083e-05,4.49468097940553e-05,4.390957474242896e-05,4.49468097940553e-05,3.837765871139709e-05,4.49468097940553e-05,3.561170342436526e-05,4.49468097940553e-05
9.2e-06,4.944149077346083e-05,4.49468097940553e-05,4.32180841016816e-05,4.49468097940553e-05,3.49202146026073e-05,4.49468097940553e-05,2.8696807930828072e-05,4.632978743757121e-05,2.7313830287312157e-05,4.632978743757121e-05
9.6e-06,4.1143617636407726e-05,4.632978743757121e-05,3.2154255677596666e-05,4.632978743757121e-05,2.178191516577499e-05,4.632978743757121e-05,2.0398936612764373e-05,4.771276508108713e-05,2.178191516577499e-05,4.771276508108713e-05
1e-05,2.3856382540543564e-05,4.632978743757121e-05,1.6250000044237822e-05,4.632978743757121e-05,1.6250000044237822e-05,4.771276508108713e-05,1.763297859724844e-05,4.909574636258185e-05,1.9015957150259055e-05,4.909574636258185e-05
