Time,Length_x_copper55um2M,Length_y_copper55um2M,Length_x_aluminum55um2M,Length_y_aluminum55um2M,Length_x_iron55um2M,Length_y_iron55um2M,Length_x_silver55um2M,Length_y_silver55um2M,Length_x_nickel55um2M,Length_y_nickel55um2M,Length_x_titanium55um2M,Length_y_titanium55um2M,Length_x_cobalt55um2M,Length_y_cobalt55um2M
1e-10,0.0001094148938136641,1.1702127267199103e-06,0.0001094148938136641,1.1702127267199103e-06,0.0001094148938136641,1.1702127267199103e-06,0.0001094148938136641,1.1702127267199103e-06,0.0001094148938136641,1.1702127267199103e-06,0.0001094148938136641,1.1702127267199103e-06,0.0001094148938136641,1.1702127267199103e-06
8e-07,0.0001094148938136641,2.2234042262425646e-05,0.0001094148938136641,2.457446862536017e-05,0.0001094148938136641,2.2234042262425646e-05,0.0001094148938136641,2.2234042262425646e-05,0.0001094148938136641,2.2234042262425646e-05,0.0001094148938136641,2.457446862536017e-05,0.0001094148938136641,2.2234042262425646e-05
1.6e-06,0.0001094148938136641,2.6914893169305287e-05,0.0001094148938136641,3.393616862013005e-05,0.0001094148938136641,2.925531953223981e-05,0.0001094148938136641,2.457446862536017e-05,0.0001094148938136641,2.925531953223981e-05,0.0001094148938136641,3.159574407618493e-05,0.0001094148938136641,2.925531953223981e-05
2.4e-06,0.00011175531835760921,3.159574407618493e-05,0.0001094148938136641,3.861702134599909e-05,0.0001094148938136641,3.393616862013005e-05,0.0001094148938136641,2.925531953223981e-05,0.0001094148938136641,3.393616862013005e-05,0.0001094148938136641,3.627659680205397e-05,0.0001094148938136641,3.393616862013005e-05
3.2e-06,0.0001094148938136641,3.627659680205397e-05,0.0001094148938136641,4.3297874071868137e-05,0.0001094148938136641,3.861702134599909e-05,0.00011175531835760921,3.159574407618493e-05,0.0001094148938136641,3.861702134599909e-05,0.0001094148938136641,4.095744588994421e-05,0.0001094148938136641,3.861702134599909e-05
4e-06,0.0001094148938136641,3.861702134599909e-05,0.0001094148938136641,4.5638298615813255e-05,0.0001094148938136641,4.095744588994421e-05,0.0001094148938136641,3.627659680205397e-05,0.0001094148938136641,4.095744588994421e-05,0.0001094148938136641,4.5638298615813255e-05,0.0001094148938136641,4.095744588994421e-05
4.8e-06,0.0001094148938136641,4.095744588994421e-05,0.0001094148938136641,5.031914770370349e-05,0.0001094148938136641,4.3297874071868137e-05,0.0001094148938136641,3.861702134599909e-05,0.0001094148938136641,4.3297874071868137e-05,0.0001094148938136641,4.7978723159758374e-05,0.0001094148938136641,4.3297874071868137e-05
5.6e-06,0.0001094148938136641,4.3297874071868137e-05,0.00010707446563174017,5.500000042957254e-05,0.0001094148938136641,4.7978723159758374e-05,0.0001094148938136641,4.095744588994421e-05,0.0001094148938136641,4.5638298615813255e-05,0.0001094148938136641,5.265957588562742e-05,0.0001094148938136641,4.6808510887785815e-05
6.4e-06,0.0001094148938136641,4.5638298615813255e-05,0.00011175531835760921,5.7340424973517656e-05,0.0001094148938136641,5.031914770370349e-05,0.0001094148938136641,4.095744588994421e-05,0.0001094148938136641,5.031914770370349e-05,0.00010707446563174017,5.7340424973517656e-05,0.0001094148938136641,5.031914770370349e-05
7.2e-06,0.0001094148938136641,4.7978723159758374e-05,0.0001211170201713685,5.9680849517462775e-05,0.00010707446563174017,5.265957588562742e-05,0.0001094148938136641,4.3297874071868137e-05,0.0001094148938136641,5.265957588562742e-05,0.00011409574290155433,5.9680849517462775e-05,0.0001094148938136641,5.265957588562742e-05
8e-06,0.0001094148938136641,5.1489361794665456e-05,0.00012579787289723754,6.20212740614079e-05,0.00010707446563174017,5.500000042957254e-05,0.0001094148938136641,4.5638298615813255e-05,0.00010707446563174017,5.500000042957254e-05,0.0001211170201713685,5.9680849517462775e-05,0.00010707446563174017,5.500000042957254e-05
8.8e-06,0.00010707446563174017,5.500000042957254e-05,0.00012579787289723754,6.436170224333182e-05,0.00011175531835760921,5.7340424973517656e-05,0.0001094148938136641,4.7978723159758374e-05,0.00011175531835760921,5.7340424973517656e-05,0.00012579787289723754,6.20212740614079e-05,0.00011175531835760921,5.7340424973517656e-05
9.6e-06,0.00010707446563174017,5.7340424973517656e-05,0.0001211170201713685,6.670213042525575e-05,0.00011643617108347826,5.9680849517462775e-05,0.0001094148938136641,5.031914770370349e-05,0.00011643617108347826,5.9680849517462775e-05,0.00012579787289723754,6.436170224333182e-05,0.00011643617108347826,5.9680849517462775e-05
1.04e-05,0.00011175531835760921,5.7340424973517656e-05,0.00011409574290155433,7.138297951314598e-05,0.00011877659926540218,5.9680849517462775e-05,0.0001094148938136641,5.031914770370349e-05,0.0001211170201713685,5.9680849517462775e-05,0.0001211170201713685,6.670213042525575e-05,0.0001211170201713685,5.9680849517462775e-05
1.12e-05,0.00011643617108347826,5.9680849517462775e-05,0.00010005319199990481,7.372340769506991e-05,0.0001211170201713685,6.20212740614079e-05,0.00010707446563174017,5.500000042957254e-05,0.0001211170201713685,6.20212740614079e-05,0.00011409574290155433,7.021276542218402e-05,0.0001211170201713685,6.20212740614079e-05
1.2e-05,0.0001211170201713685,5.9680849517462775e-05,8.601063746027648e-05,7.606382860103622e-05,0.0001211170201713685,6.436170224333182e-05,0.00010707446563174017,5.500000042957254e-05,0.0001211170201713685,6.436170224333182e-05,0.00010239361654384993,7.372340769506991e-05,0.0001211170201713685,6.436170224333182e-05
